,senti,text,X,
1,0,COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu＃ https://t.co/hmEwE747WK,1,NA
2,0,"About 22,000 nonprofits will eventually close their doors for good as a result of the current economic crisis, acco＃ https://t.co/2PSnJgFVfd",7,NA
3,0,CDC changes COVID-19 guidance on how long people need to be isolated https://t.co/LqEQKBBQAN via @nbcnews #COVID19 #theyhavenoidea,19,NA
4,0,"Oh for fvck＊s sake @CNN @sarahcwestwood STOP WITH THE BS. #trump has not changed his tone. So @FoxNews. 
#CNN weeke＃ https://t.co/4DVBg0cCqF",23,0
5,0,Fear is an effective strategy. #Knowthefacts. Protect your children because he doesn't care about them. He will use＃ https://t.co/CRJJXJXqcs,27,0
6,0,Dear @realDonaldTrump There is little logic in your argument that more testing will result in more cases of＃ https://t.co/hm1WdWUxFK,31,0
7,0,"C.D.C. Calls On Schools to Reopen, Downplaying Coronavirus Risks https://t.co/7ElqAhk4p4  <U+0001F448> click the link＃ https://t.co/3qDDuZWtYJ",38,NA
8,0,@charliedougan74 If masks are so effective against #COVID19 then why are the positive tests numbers climbing?,49,NA
9,0,You can＊t get #Covid_19 handing out sandbags in Florida Maybe this is why Florida has a big problem＃ https://t.co/NSifmtGMWN,69,NA
10,0,Anna Levine got her law degree at 62 and beat cancer twice. Then coronavirus took her https://t.co/rK1v0R67dT  <U+0001F448> cl＃ https://t.co/Ciz4tBLBPJ,76,0
11,0,"If #SCOTUS rules that protests are legal, but gathering as a church is not, then isn't assembling as a congregation＃ https://t.co/2qVEFdcyzq",82,NA
12,0,"it is over here 

#thankyouholyspirit #SpeakingOut #Science #COVID19 #kids #findmaryj #fearwomen #twitch＃ https://t.co/1JUS1H6IeS",101,NA
13,0,@theimaginestan I＊m pretty sure that＊s how you spread #covid19 ... masks don＊t work if you don＊t practice social distancing,116,NA
14,0,"#Coronavirus in #France: There is a total of 217,797 confirmed cases of #COVID19.",117,NA
15,0,"""I love the #uneducated,"" Says #Trump. ""I'll withhold #federal #funds for #states who don't send kids back to＃ https://t.co/8If8Fp6OgD",120,NA
16,0,Hold off on the parties for now kids. Here＊s why: CT clubs point to group trip as possible source of COVID-19 trans＃ https://t.co/DCy2ByKT8i,123,NA
17,0,Especially during #COVID19? <U+0001F922><U+0001F637> https://t.co/6gMRaFdDju,147,NA
18,0,Wear Your Mask! Reusable Washable Anti Air Pollution PM2.5 Face Mask Mouth Masks Protective https://t.co/oPuVePgXyJ＃ https://t.co/UjvcpiqDik,163,NA
19,0,"#Coronavirus in #Latvia: There is a total of 1,205 confirmed cases of #COVID19.",194,NA
20,0,"#Coronavirus in #Italy: There is a total of 35,097 confirmed deaths from #COVID19.",205,NA
21,0,80% or more of cases may show changes in chemosensation! Seems loss of #smell &amp; #taste may be the best predictor of＃ https://t.co/1s1Lgej7ha,246,NA
22,0,@kayleighmcenany How would you like to see your child on a Vent? Children are NOT immune to Covid. Go ahead send he＃ https://t.co/nHYyKO6rIp,248,NA
23,0,Im so very proud of the team @mercyfoundcork. We set ourselves a massive challenge to achieve something big. We wor＃ https://t.co/QtNxgpM2eR,250,1
24,0,He calmly guided #NewZealand through a #Covid19<U+0001F9A0> lockdown to #FlattenTheCurve. And now he's scored a try in the＃ https://t.co/5zjwk6cy5e,269,1
25,0,Those calling for #schools to re-open incl <U+2066>@realDonaldTrump<U+2069> #USA or <U+2066>@ScottMorrisonMP<U+2069> in #Australia seem to be d＃ https://t.co/vV7q3OxQwF,291,NA
26,0,"Veronica Atieno remembers feeling her way through the dark alleys between the shacks that make up Nairobi＊s slums,＃ https://t.co/VBJeopeXrT",295,NA
27,0,"<U+2B55><U+FE0F>The impacts of #COVID19 on ocean show positive due to the reduction in pollution, over fishing, habitat loss....＃ https://t.co/4fE3ZnEx3c",296,1
28,0,wef: The UN has called for UBI for the world's poorest during the pandemic https://t.co/53xmKoIoD4 #covid19 #poverty https://t.co/PeoaodEKv7,299,NA
29,0,"wef: Remote working is not working for the poor, the young and women, a new study finds https://t.co/7Jv27achvi＃ https://t.co/6ehRgOLjjn",304,NA
