"","user_name","user_location","user_description","user_created","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","source","is_retweet"
"1","Coronavirus Law","florida","COVID-19 Practice of Lechner Law","2019-12-03 19:00:11",14,24,74,"False","2020-07-25 12:26:39","COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu¡­ https://t.co/hmEwE747WK","","Twitter for iPad","False"
"2","Sarah Smith","california","Failed Ballet Dancer - Love anything Californian including thinness, suntan, going to the gym and the search for youthfulness. https://t.co/HaJAWMUzA5","2014-05-26 19:18:50",1511,1507,131,"False","2020-07-25 12:25:35","Coronavirus Testing Fiasco: St Mirren<U+00A0>have pledged to undertake an ""urgent review"" of their Covid-19 testing proced¡­ https://t.co/h7p44XIzuk","","TweetCaster for Android","False"
"3","Gus McPop","louisiana","I love music, any kind of music, I love music, just as long as it's groovin'.
https://t.co/HaJAWMUzA5","2014-06-07 08:27:27",1204,1191,113,"False","2020-07-25 12:25:34","Coronavirus Testing Fiasco: St Mirren<U+00A0>have pledged to undertake an ""urgent review"" of their Covid-19 testing proced¡­ https://t.co/eu5g2djZYx","","TweetCaster for Android","False"
"4","Eric aka Chewy Red","pennsylvania","Middle ground on this gun issue.  I carry to protect my loved ones and really trust no one to protect them, but me.","2013-01-27 18:17:29",66,420,586,"False","2020-07-25 12:25:12","Concealed Nation 1 Million Giveaway https://t.co/HaMym0cBe3 
I put my family's safety before all others, criminals¡­ https://t.co/7QQxVLWqZd","","Twitter Web App","False"
"5","Maribeth Doran","california","Proud to be Irish American. Passionate about Wine, Food, Music, Friends, Tech, Green Bay Packers & SF Giants. Formerly tweeted as @ClineCellars","2009-04-06 16:43:28",1697,2210,1778,"False","2020-07-25 12:24:49","How Ireland built its COVID-19 contract tracing app, which is so successful that U, S. states want to use it¡­ https://t.co/f0DavA6psh","","Twitter for iPhone","False"
"6","The AssarV10 Team<U+2122><U+00A9>","california","The AssarV10 Team<U+2122><U+00A9>","2015-12-23 07:40:38",2565,779,9732,"False","2020-07-25 12:23:45","Four mayors reflect on their evolving response to the coronavirus pandemic https://t.co/TMqFfkPjcC  <U+0001F448> click the lin¡­ https://t.co/ZmqzTU7Nsv","","assarofficial","False"
"7","John J. Rainone","virginia","President of @DSLCC | #FirstGen | #CFRE | Husband | Father | #Rotarian | #comm_college | #highered | #KindnessMatters | Tweets are my own","2013-07-29 12:34:56",2124,1539,5701,"False","2020-07-25 12:23:41","About 22,000 nonprofits will eventually close their doors for good as a result of the current economic crisis, acco¡­ https://t.co/2PSnJgFVfd","","Twitter for iPad","False"
"8","#FliptheSenate #HoldtheHouse #BLM #ArrestTrump","florida","Hate the Orange Nazi Asshole, GOP,""Christian"" conservatives. I'm a fan of truth, justice & the progressive way, of rights for all. #resist #FBR NoDMs NO LISTS","2017-07-27 19:20:51",2617,2773,3,"False","2020-07-25 12:22:39","#AR State Sen. Jason Rapert Preached at a Mask-Free Church; Now He Has COVID https://t.co/J9rcqicIHc 
I'm sorry--is¡­ https://t.co/A6dvDYcP7i","['AR']","Twitter Web App","False"
"9","BetterWorldCampaign","washington, d.c.","Dedicated to a strong U.S.-UN relationship. | Take urgent action in support of WHO: https://t.co/bTRPDgpUuP #WeNeedWHO","2009-07-22 16:59:31",16607,3120,9442,"True","2020-07-25 12:22:02","¡°Until the day we have a medical vaccine, food is the best vaccine against chaos.¡±  - @WFPChief David Beasley. 

Am¡­ https://t.co/pEYhGxDRPN","","Buffer","False"
"10","Kirby Fowler","texas","Mom, wife, runner, Learner of EVERYTHING, Presenter of tech, Creator of things.","2015-02-19 15:51:20",1112,707,2706,"False","2020-07-25 12:21:10","Big Q: Parents: if you have flexibility to work from home or send your child to school, what would data/information¡­ https://t.co/tw7Dz1V0OG","","Twitter Web App","False"
"11","Rutland Radio","vermont","Greatest Hits for Stamford and Rutland on your radio, through your smart speaker, via the app & online.","2010-10-12 15:16:25",7704,1268,11477,"False","2020-07-25 12:21:03","Rutland's own, supporting #COVID19 testing https://t.co/sVtRf11T3s","['COVID19']","Twitter Web App","False"
"12","Socrates","massachusetts","The unexamined life is not worth living. #FBR","2013-02-22 05:39:53",2170,3856,22536,"False","2020-07-25 12:20:32","#COVID19 is the religion of 21st Century Jews fighting 21st Century Christian Evangelicals","['COVID19']","Twitter for iPhone","False"
"13","Luis M Burgos","massachusetts","Human rights advocate, husband, father, #resistor to unfair, inhumane policy. Not left, not right, just correct!","2009-02-09 15:45:45",1838,2186,8218,"False","2020-07-25 12:19:59","Cautious optimism? Arizona May be plateauing with #COVID19   Potential good news.  https://t.co/j20GOpHK04","['COVID19']","Twitter for iPhone","False"
"14","Jimbo360","florida","Floridian here proudly supporting @realDonaldTrump 
I'm active on Tweeter, FB & Youtube for #Trump2020 Let's make it happen!   #KAG #MAGA","2019-05-03 13:07:46",56,422,1677,"False","2020-07-25 12:18:36","Sad Reality: Hundreds of Cars line up drive thru Food Drive in Florida https://t.co/3pQoULuznu  

#COVID19","['COVID19']","Twitter Web App","False"
"15","Grandma Storm","california","Widow of a USMC VETERAN<U+0001F30A>Bless Our Troops<U+0001F30A>Social Distancing & Masks WORK!<U+0001F30A>#BIDEN2020","2008-09-27 06:02:39",1002,2148,6630,"False","2020-07-25 12:18:02","Every time you demonize ""the left, Democrats, liberals"" and people who oppose you...you are REJECTING THE MAJORITY¡­ https://t.co/JC89mIb2Jo","","Twitter for Android","False"
"16","<U+1D0D><U+026A><U+1D04><U+029C><U+1D00><U+1D07><U+029F> <U+1D0A> <U+A731><U+1D0D><U+026A><U+1D1B><U+029C> - <U+1D18><U+1D00><U+0274><U+026A><U+1D04> <U+1D05><U+026A><U+A731><U+1D0F><U+0280><U+1D05><U+1D07><U+0280> 411","florida","Environmental Protection & Sustainability: reuse, reduce, recycle, upcycle. Support local farms. If you're not part of the solution, you're part of the problem.","2010-07-08 19:11:10",244514,256510,10140,"False","2020-07-25 12:15:14","If only Trump cared as much about protecting adults and school children during the pandemic as he does about protec¡­ https://t.co/uvxrglsE4z","","Twitter Web App","False"
"17","Monte DeArmoun","iowa","Teacher of American Government, Psychology, Sociology, Economics, Big History, & 8th Gr. Social Studies. 2012 Iowa History Teacher of the Year. Sports official.","2009-04-02 03:56:51",1354,3222,1676,"False","2020-07-25 12:14:52","#COVID19 business decision. He is using his medical career to make the decision, not the @NFL $$$$. https://t.co/VZnt3TpQ9S","['COVID19']","Twitter for Android","False"
"18","COVID-19: The Numbers","florida","A robot that tweets the numbers behind COVID-19. Built by @al5ina5.","2020-07-21 08:53:29",14,87,3,"False","2020-07-25 12:13:00","#Coronavirus in #Andorra: There is a total of 52 confirmed deaths from #COVID19.","['Coronavirus', 'Andorra', 'COVID19']","Sebastian's Twitter Bot","False"
"19","Maryellen Alvarez","new jersey","Patriot/Cat lover/retired","2012-09-19 04:07:50",58,180,6845,"False","2020-07-25 12:12:35","CDC changes COVID-19 guidance on how long people need to be isolated https://t.co/LqEQKBBQAN via @nbcnews #COVID19 #theyhavenoidea","['COVID19', 'theyhavenoidea']","Twitter for iPad","False"
"20","The AssarV10 Team<U+2122><U+00A9>","california","The AssarV10 Team<U+2122><U+00A9>","2015-12-23 07:40:38",2565,779,9732,"False","2020-07-25 12:12:28","Two students tested positive for coronavirus after taking the ACT at an Oklahoma high school¡­ https://t.co/DRNa3Uq3th","","assarofficial","False"
"21","BODYSLAM.NET","north carolina","Check out our site https://t.co/9XfqqoJL2A for all your pro wrestling news & rumors, and make sure to follow us! Owned & Founded by @Casshooole.","2012-02-01 07:47:17",25425,19091,25201,"False","2020-07-25 12:12:17","Another WWE employee has contracted COVID-19

Via @PWCDeez

#WWE #WrestleMania #COVID19 #Coronavirus

https://t.co/6sxCU0hn7a","['WWE', 'WrestleMania', 'COVID19', 'Coronavirus']","Twitter for Android","False"
