"","State","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"1","Alabama","2.8%","2.7%","2.7%","2.7%","2.7%","2.7%","2.7%","3.0%","13.8%","9.6%","7.6%","7.9%","5.6%"
"2","Alaska","6.2","6.2","6.1","6.1","6.1","6.0","5.8","5.2","13.5","12.7","12.4","11.6","7.4"
"3","Arizona","4.6","4.6","4.5","4.5","4.5","4.5","4.5","6.1","13.4","9.0","10.0","10.7","5.9"
"4","Arkansas","3.6","3.6","3.5","3.5","3.5","3.5","3.5","5.0","10.8","9.6","8.1","7.1","7.4"
"5","California","3.9","3.9","3.9","3.9","3.9","3.9","3.9","5.5","16.4","16.4","14.9","13.5","11.4"
"6","Colorado","2.6","2.6","2.5","2.5","2.5","2.5","2.5","5.2","12.2","10.2","10.6","7.4","6.7"
"7","Connecticut","3.7","3.7","3.8","3.8","3.8","3.7","3.8","3.4","8.3","9.6","10.1","10.2","8.1"
"8","Delaware","3.9","3.9","4.0","4.0","4.0","4.0","3.9","5.0","14.9","15.9","12.6","10.5","8.9"
"9","District of Columbia","5.3","5.3","5.3","5.3","5.3","5.2","5.1","6.0","11.7","8.8","8.7","8.5","8.5"
"10","Florida","3.0","2.9","2.9","2.8","2.9","2.8","2.8","4.4","13.8","13.7","10.3","11.4","7.4"
"11","Georgia","3.3","3.2","3.2","3.1","3.1","3.1","3.1","4.6","12.6","9.4","7.6","7.6","5.6"
"12","Hawaii","2.7","2.7","2.7","2.6","2.7","2.7","2.7","2.4","23.8","23.5","13.4","13.5","12.5"
"13","Idaho","2.9","2.9","2.9","2.9","2.9","2.8","2.7","2.5","11.8","9.0","5.8","5.1","4.2"
"14","Illinois","3.8","3.7","3.7","3.7","3.7","3.5","3.4","4.2","17.2","15.3","14.5","11.5","11.0"
"15","Indiana","3.2","3.2","3.2","3.2","3.2","3.1","3.1","3.0","17.5","12.3","11.1","7.9","6.4"
